epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,4996.83,1.10693,0.08031,0.04834,0.75531,0.92626,0.74859,0.72177,0.77104,0.52886,0.77784,0.78266,0.84348,0.83822,0.99662,0.0725,0.01269,0.71028,0.90406,0.000571059,0.000571059,0.000571059
28,5186.55,1.10433,0.07842,0.04724,0.74992,0.92342,0.75469,0.70965,0.76756,0.52639,0.7762,0.77363,0.83829,0.83308,0.98636,0.07181,0.00506,0.71974,0.89729,0.000563446,0.000563446,0.000563446
29,5385.42,1.10217,0.08026,0.04803,0.75067,0.9249,0.76019,0.70647,0.76328,0.52662,0.78237,0.76341,0.83252,0.82743,0.98177,0.07421,0.00431,0.70798,0.89875,0.000555833,0.000555833,0.000555833
30,5587.62,1.09849,0.079,0.04793,0.74037,0.92368,0.75466,0.71501,0.76588,0.5285,0.78314,0.77694,0.83586,0.83065,0.98656,0.07225,0.00368,0.71473,0.8979,0.00054822,0.00054822,0.00054822
31,5774.35,1.09316,0.07739,0.04653,0.73087,0.92421,0.75729,0.7328,0.77888,0.53738,0.79159,0.78265,0.84967,0.84459,0.9798,0.07016,0.00427,0.6758,0.89761,0.000540607,0.000540607,0.000540607
32,5966.51,1.09119,0.07913,0.04662,0.73105,0.92332,0.76644,0.72481,0.77598,0.53451,0.79675,0.78284,0.84418,0.83893,0.98412,0.07058,0.0054,0.70134,0.89499,0.000532994,0.000532994,0.000532994
33,6157.02,1.07482,0.0765,0.04314,0.71674,0.91412,0.77124,0.70613,0.77104,0.53187,0.78669,0.7719,0.84102,0.83612,0.97398,0.06817,0.0054,0.69286,0.89534,0.000525381,0.000525381,0.000525381
34,6351.8,1.07808,0.07602,0.04552,0.71677,0.91908,0.7652,0.7236,0.77896,0.54013,0.7968,0.77801,0.85066,0.84576,0.97165,0.0701,0.00271,0.67048,0.89407,0.000517768,0.000517768,0.000517768
35,6538.34,1.07931,0.0762,0.04517,0.7098,0.91782,0.76806,0.71654,0.7763,0.53481,0.79269,0.77678,0.84736,0.84219,0.97211,0.06953,0.00311,0.68253,0.89468,0.000510155,0.000510155,0.000510155
36,6724.36,1.07316,0.07588,0.04678,0.70663,0.91599,0.78178,0.7216,0.78339,0.54332,0.80347,0.7866,0.85258,0.84794,0.96698,0.06936,0.0049,0.67185,0.89603,0.000502541,0.000502541,0.000502541
37,6916.22,1.0621,0.0741,0.04592,0.69663,0.91027,0.77858,0.72898,0.78495,0.54376,0.80401,0.79392,0.85582,0.85109,0.96639,0.06913,0.00303,0.66497,0.89594,0.000494928,0.000494928,0.000494928
38,7108.64,1.07594,0.07545,0.04543,0.69517,0.91253,0.78329,0.73259,0.78826,0.5513,0.81205,0.7864,0.85612,0.8517,0.95661,0.06685,0.00554,0.65166,0.8918,0.000487315,0.000487315,0.000487315
39,7292.38,1.05923,0.07309,0.04443,0.69509,0.91417,0.77902,0.73543,0.79056,0.55042,0.80858,0.80002,0.85934,0.85464,0.95476,0.06866,0.00273,0.6492,0.89309,0.000479702,0.000479702,0.000479702
40,7474.53,1.05485,0.07333,0.04294,0.68541,0.91089,0.77054,0.72156,0.77476,0.54273,0.79784,0.77538,0.84097,0.8362,0.95711,0.06737,0.00777,0.68159,0.89211,0.000472089,0.000472089,0.000472089
41,7657.14,1.06362,0.0749,0.04369,0.68342,0.90935,0.78951,0.73781,0.79452,0.55162,0.80917,0.79793,0.86078,0.85596,0.95461,0.06617,0.00336,0.65004,0.89444,0.000464476,0.000464476,0.000464476
42,7840.9,1.04977,0.07258,0.04531,0.67437,0.9068,0.7741,0.73787,0.79068,0.5515,0.79834,0.80003,0.859,0.8546,0.95358,0.06628,0.00336,0.65465,0.89213,0.000456863,0.000456863,0.000456863
43,8022.74,1.04426,0.0727,0.04295,0.66911,0.90507,0.77096,0.73256,0.78716,0.54892,0.80147,0.78989,0.85502,0.85014,0.95116,0.06643,0.00634,0.66046,0.8897,0.00044925,0.00044925,0.00044925
44,8206.21,1.04358,0.07231,0.04466,0.66779,0.90789,0.75854,0.74408,0.79121,0.55082,0.79521,0.80312,0.86014,0.85554,0.94917,0.06545,0.00698,0.64718,0.88896,0.000441637,0.000441637,0.000441637
45,8388.27,1.04124,0.07144,0.04281,0.66547,0.90825,0.78629,0.73934,0.79424,0.55567,0.80504,0.80658,0.86268,0.8578,0.94586,0.06706,0.003,0.64359,0.89309,0.000434024,0.000434024,0.000434024
46,8571.4,1.03429,0.07166,0.04282,0.65463,0.90365,0.78525,0.73941,0.79574,0.55918,0.81145,0.79547,0.86488,0.86036,0.94074,0.0651,0.00338,0.63135,0.89168,0.000426411,0.000426411,0.000426411
47,8754.24,1.02907,0.07063,0.0424,0.65295,0.90161,0.77326,0.7332,0.79152,0.55585,0.80063,0.78643,0.85866,0.85433,0.93638,0.06509,0.00357,0.63831,0.88714,0.000418797,0.000418797,0.000418797
48,8936.5,1.03488,0.07108,0.04325,0.65465,0.90286,0.78051,0.73757,0.79709,0.55946,0.80279,0.79773,0.86308,0.85859,0.93247,0.06417,0.00357,0.62978,0.88564,0.000411184,0.000411184,0.000411184
49,9119.69,1.03454,0.07065,0.04369,0.64665,0.90384,0.78842,0.74517,0.80063,0.56299,0.81904,0.79881,0.86624,0.86178,0.93806,0.06557,0.00298,0.62663,0.88844,0.000403571,0.000403571,0.000403571
50,9302.04,1.0287,0.06991,0.04328,0.64316,0.90246,0.78854,0.73682,0.79316,0.5549,0.81078,0.79895,0.85788,0.85312,0.94082,0.0653,0.00385,0.63878,0.88624,0.000395958,0.000395958,0.000395958
51,9486.01,1.02443,0.06984,0.0425,0.6365,0.89713,0.78293,0.74662,0.79578,0.55938,0.80798,0.80097,0.85938,0.85507,0.93859,0.06543,0.00446,0.62537,0.88862,0.000388345,0.000388345,0.000388345
52,9669.54,1.02549,0.06888,0.04229,0.63851,0.89858,0.79158,0.7406,0.79972,0.56264,0.80577,0.80743,0.86419,0.85992,0.9277,0.06447,0.0032,0.61663,0.88426,0.000380732,0.000380732,0.000380732
53,9852.29,1.0217,0.06845,0.04239,0.63569,0.90014,0.78822,0.74333,0.80123,0.56299,0.81265,0.79755,0.86519,0.8607,0.9315,0.06509,0.00347,0.6188,0.88831,0.000373119,0.000373119,0.000373119
54,10035.1,1.00616,0.06796,0.04196,0.62419,0.89602,0.78384,0.74665,0.80174,0.56484,0.81173,0.80801,0.86853,0.86421,0.93113,0.06404,0.00402,0.61491,0.88938,0.000365506,0.000365506,0.000365506
